operacaoctef|ctefctef|cnpjctef|empresactef
1071613|0012022/2022|33.091.431/0001-60|AF CONSTRUTORA LTDA
1080674|00115/2023|36.427.158/0001-90|ALLN CONSTRUCOES E ENGENHARIA LTDA
1073484|00009/2022|17.440.965/0001-06|CONSTRUTORA EDFFICAR LTDA
1082615|00004/2023|47.918.526/0001-19|MONTEIRO ENGENHARIA LTDA
1083371|2184/2023|25.165.699/0001-70|CLPT CONSTRUTORA LTDA
1077978|00001/2023|46.695.850/0001-52|RM CONSTRUCAO LTDA
1083255|00010/2023|19.369.906/0001-06|FFJ CONSTRUTORA LTDA
1077908|01044/2023|41.917.205/0001-13|VALTER ALVES SERVICOS DE ENGENHARIA LTDA
1072450|002/2023|05.052.764/0001-44|CONSTRUTORA GURGEL SOARES LTDA
1077190|10080/2023|41.163.475/0001-86|COMAF - SERVICOS DE CONSTRUCOES CIVIS LTDA
1078946|0210/2023|31.615.295/0001-34|ARENA CONSTRUCOES E LOCACOES LTDA
1076543|08006/2023|07.459.154/0001-95|CONSTRUTORA FONTES LTDA
1073596|0022023/2023|36.240.305/0001-18|GERPLAN ENGENHARIA LTDA
1078384|00263/2023|19.293.019/0001-00|CARAMURU CONSTRUTORA E IMOBILIARIA LTDA
1079620|000163/2023|48.689.684/0001-07|PORTO BRASIL INCORPORACOES LTDA
1079983|0003/2023|19.967.720/0001-59|SOBRAL CONSTRUTORA LTDA
1081483|002/2023|31.094.999/0001-09|MENDONCA E SILVA CONSTRUCOES E LOCACOES LTDA
1076220|010/2022|30.999.688/0001-26|JMSV CONSTRUCOES LTDA
1080324|00299/2023|22.635.788/0001-45|M3 Construções Ltda
1076634|181/2023|32.666.677/0001-50|D2R3 Serviços de Construção Civil Ltda.
1074553|11062/2023|00.338.885/0001-33|NOVATEC Construções e Empreendimentos Ltda
1081480|001/2023|46.523.739/0001-89|GOLDEN CONSTRUCAO E SERVICOS TERCEIRIZADOS LTDA
1081159|00003/2023|35.586.809/0001-21|A.R.J. MONTEIRO CONSTRUCOES, E SERVICOS LTDA
1081284|000032023/2023|19.369.906/0001-06|FFJ CONSTRUTORA LTDA
1075383|00010/2022|07.534.377/0001-70|HARG EMPREENDIMENTOS, CONSTRUCOES E INCORPORACOES LTDA
1034348|010805/2022|25.144.118/0001-14|nova morada eireli
1078690|0012023/2023|28.851.670/0001-30|FERREIRA DOS SANTOS CONSTRUCOES E SERVICOS LTDA
1077785|001/2023|27.743.003/0001-71|ANTONIO GOMES  LTDA
1081403|000042023/2023|19.369.906/0001-06|FFJ CONSTRUTORA LTDA
1081375|001/2023|28.709.222/0001-05|EMPROTEC ENGENHARIA LTDA
1081381|024/2023|44.105.908/0001-35|ID Construtora Ltda
1081744|04701/2023|30.272.239/0001-81|CATAO BONGIOVI COMERCIO E SERVICOS LTDA
1063259|0001/2023|42.540.677/0001-62|LIMA CONSTRUCOES E SERVICOS LTDA
1081514|00165/2023|17.421.938/0001-88|DIAS ENGENHARIA E LOCACOES LTDA
1045267|060061/2023|07.609.311/0001-00|CRV Construções e Serviços Ltda
1073982|152/23|07.264.280/0001-94|MJC Construções Ltda.
1076232|00153/2023|44.352.616/0001-05|PONTES CONSTRUTORA E SERVICOS LTDA
1080821|00062023/2023|44.352.616/0001-05|PONTES CONSTRUTORA E SERVICOS LTDA
1077817|00002/2023|42.091.137/0001-49|MACENA CONSTRUCAO CIVIL LTDA
1085760|000190/2023|07.156.006/0001-00|CONSTRUTORA PAIXAO LTDA
1080822|0190/2023|48.689.684/0001-07|PORTO BRASIL INCORPORACOES LTDA
1075433|00006/2023|19.988.502/0001-09|BARTOLOMEU A DE SOUSA LTDA
1075435|00006/2023|19.988.502/0001-09|BARTOLOMEU A DE SOUSA LTDA
1083024|220/2023|48.689.684/0001-07|PORTO BRASIL INCORPORACOES LTDA
1081224|00128/23|28.697.127/0001-20|JGM CONSTRUTORA LTDA
1075429|00006/2023|19.988.502/0001-09|BARTOLOMEU A DE SOUSA LTDA
1080651|110122023/2023|08.117.778/0001-97|MARBELLA RESIDENCE INCORPORADORA E CONSTRUTORA LTDA
1084576|119/2023|30.513.093/0001-19|YELLOWSUN CONSTRUCOES LTDA
1081294|131/23|28.697.127/0001-20|JGM Construtora Ltda.
1080605|00001/2023|33.666.569/0001-40|PACTO CONSTRUCOES LTDA
1081854|00042023/2023|28.709.222/0001-05|EMPROTEC ENGENHARIA LTDA
1073575|00042023/2023|43.136.815/0001-05|ECO - CES CONSTRUCOES E SERVICOS AMBIENTAIS LTDA
1077218|02005/2023|37.566.790/0001-87|ULTRA SOLUCOES E SERVICOS LTDA
1073596|0042021/2021|12.541.735/0001-01|MAURILIO FERREIRA DA SILVA LTDA
1086432|060/2023|73.041.188/0001-90|Comercial e Construtora Fenix Ltda.
1082006|0333/2023|04.895.340/0001-89|RVV CONSTRUCOES E EMPREENDIMENTOS LTDA
1084158|411/2023|04.326.123/0001-78|N & S Construções e Projetos Ltda.
1053264|000158/2023|31.940.699/0001-01|cledson lima almeida
1073867|00005/2021|24.606.073/0001-90|CONSTRUTORA ALVES E CONSERVA LTDA
1078271|09/2023|42.705.884/0001-20|J R A CONSTRUTORA E SERVICOS LTDA
1078845|000050/2023|29.828.673/0001-16|AMETISTA CONSTRUTORA E EMPREITEIRA LTDA
1075953|00011/2023|26.743.365/0001-08|FREITAS SERVICOS DE ENGENHARIA LTDA
1078761|052023/2023|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS LTDA
1077183|002/2023|43.136.815/0001-05|ECO - CES CONSTRUCOES E SERVICOS AMBIENTAIS LTDA
1075590|138/2023|22.759.235/0001-02|SENA CONSTRUCOES LTDA
1081529|00057/2023|30.083.868/0001-63|R F ENGENHARIA LTDA
1079850|222023/2023|20.547.072/0001-60|RESILIENCIA CONSTRUCOES E SERVICOS LTDA
1081068|00160/2023|29.878.872/0001-39|R F SERVICOS DE CONSTRUCAO CIVIL LTDA
1084187|003/2023|23.429.439/0001-30|R M G CONSTRUCOES E SERVICOS LTDA
1043974|011077/2023|05.052.764/0001-44|construtora gurgel soares ltda
1043974|011077/2023|05.052.764/0001-44|construtora gurgel soares ltda
1078272|10/2023|42.705.884/0001-20|J R A CONSTRUTORA E SERVICOS LTDA
1081697|00013/2023|44.105.908/0001-35|ID CONSTRUTORA LTDA
1086027|000022023/2023|10.744.571/0001-94|CONCRENOR CONSTRUCOES DO NORDESTE LTDA
1073967|23/2023|44.105.908/0001-35|ID Construtora Ltda.
1043974|11077|05.052.764/0001-44|CONSTRUTORA GURGEL SOARES LTDA
0352766|11029/2023|19.503.944/0001-00|MVP ENGENHARIA E CONSTRUÇÕES LTDA
1084135|003/2023|27.450.326/0001-77|CONSTRUTORA SALES LTDA
1076068|00302/2023|51.065.689/0001-73|L5 Construções Ltda
1070029|03/2023|29.050.310/0001-00|TORRE CONSTRUCAO E CONSULTORIA EM ENGENHARIA LTDA
1084315|108/2023|33.310.406/0001-20|ELP CONSTRUCAO E CONSULTORIA LTDA
1086062|078/2023|30.635.870/0001-06|Pedro Gerferson Ferreira Feliciano Diniz Brasileiro
1082640|20401/2023|10.744.571/0001-94|CONCRENOR CONSTRUCOES DO NORDESTE LTDA
1078238|052023/2023|17.287.720/0001-82|SILVA E LEITE CONSTRUCOES E SERVICOS LTDA
1075333|00301/2023|51.065.689/0001-73|L5 Construções Ltda
1082941|042023/2023|29.050.310/0001-00|TORRE CONSTRUCAO E CONSULTORIA EM ENGENHARIA LTDA
1063904|03/2023|29.050.310/0001-00|TORRE CONSTRUCAO E CONSULTORIA EM ENGENHARIA LTDA
1079015|00240/2023|29.482.689/0001-10|Construtora Betagama Ltda
1078619|042023/2023|29.050.310/0001-00|TORRE CONSTRUCAO E CONSULTORIA EM ENGENHARIA LTDA
1062164|0001/2023|24.263.536/0001-68|B & N EMPREENDIMENTOS IMOBILIARIOS LTDA
1078317|2.007/2023|37.566.790/0001-87|ULTRA SOLUCOES E SERVICOS LTDA
1081694|00350/2023|31.381.604/0001-59|MOTIVA CONSTRUCOES E SERVICOS LTDA
1078687|01261/2023|19.910.105/0001-06|RENOVAR Construções e Serviços Ltda
1081323|102023/2023|14.985.318/0001-83|JANSEN CONSTRUCOES E INCORPORACOES LTDA
1084320|000136/2023|30.272.239/0001-81|CATAO BONGIOVI COMERCIO E SERVICOS LTDA
0306468|000152/2023|13.408.085/0001-93|wjx construcoes e servicos de engenharia ltda
1077794|00300/2023|38.374.079/0001-93|DEA Construções e Locações Ltda
1079317|20501/2023|48.959.354/0001-94|L F C CONSTRUCOES LTDA
0344899|000435/2023|35.185.383/0001-02|dff construcoes e reformas ltda
1047956|000008/2023|13.408.085/0001-93|wjx construcoes e servicos de engenharia ltda
1073447|237/2023|48.689.684/0001-07|PORTO BRASIL INCORPORAÇÕES LTDA
1082416|022023/2023|17.589.700/0001-66|CONSTRUTORA LCL LTDA
1080523|0006/2023|24.964.064/0001-70|T A FRANCA SERVICOS
1084448|40901/2023|47.059.965/0001-13|M J Construções Indústria Serviços e Saneamento Ltda.
1080672|112023/2023|14.985.318/0001-83|JANSEN CONSTRUCOES E INCORPORACOES LTDA
1083640|0251/2023|38.655.976/0001-75|INOV Serviços e Construtora Ltda - ME
1077136|007/2023|10.641.065/0001-70|NIEMAIA CONSTRUCOES LTDA
1084328|00013/2023|40.141.083/0001-53|PONTES EMPREENDIMENTOS LTDA
1086006|8/2023|41.163.475/0001-86|COMAF - SERVICOS DE CONSTRUCOES CIVIS LTDA
1085491|000072023/2023|73.041.188/0001-90|COMERCIAL E CONSTRUTORA FENIX LTDA
1078203|00018/2023|28.114.128/0001-03|OLIVEIRA LOCACAO, SERVICOS E CONSTRUCOES LTDA
1078717|00012/2023|20.949.329/0001-00|PRIIMEE.CONSTRUCOES E EMPREENDIMENTOS LTDA
1077204|00017/2023|11.150.150/0001-06|CONSTRUTORA DOIS IRMAOS LIMITADA
1086358|00008/2023|46.694.664/0001-07|A L PAULINO
1084317|108/2023|36.121.012/0001-11|PR CONSTRUCOES LTDA
1007149|092/19|27.700.986/0001-69|Planeg Engenharia Ltda. (DISTRATADO)
1007149|140/23|41.970.209/0001-65|Construtora e Engenharia WF Ltda.
1084326|123/2023|36.158.514/0001-17|JOSE ROMESON FELISMINO DA SILVA CONSTRUTORA LTDA
1080857|11.061/23|09.267.923/0001-89|Sanccol Saneamento e Comércio Ltda.
1067732|00004/2023|09.158.398/0001-63|SANTA CRUZ CONSTRUCOES LTDA
1084312|00006/2023|36.158.514/0001-17|JOSE ROMESON FELISMINO DA SILVA CONSTRUTORA LTDA
1074572|00004/2023|09.158.398/0001-63|SANTA CRUZ CONSTRUCOES LTDA
1078776|06/2023|23.608.975/0001-00|CARLOS ALBERTO OLIVEIRA DE LIMA LTDA
1077091|011/2023|31.615.295/0001-34|ARENA CONSTRUCOES E LOCACOES LTDA
1081654|00004/2023|09.158.398/0001-63|SANTA CRUZ CONSTRUCOES LTDA
1078478|07/2023|35.670.929/0001-02|PROENG CONSTRUCOES E CONSULTORIAS LTDA
0350808|113/2013|18.766.306/0001-19|Consórcio SANCCOL/PLANÍCIE
0350808|164/2019|68.390.541/0001-07|INTERATIVA
0350808|0168/2019|88.843.370/0001-31|FACTUM Eq Saneamento
0350808|0179/2019|26.133.037/0001-81|LUPY Valvulas e Equipamentos
1083800|0003/2023|42.286.165/0001-11|FAJ CONSTRUCAO LTDA
1035853|000223/2019|08.449.096/0001-81|canapu comercio de distribuicao ltda
1084314|124/2023|36.158.514/0001-17|JOSE ROMESON FELISMINO DA SILVA CONSTRUTORA LTDA
1084850|41001/2023|35.042.630/0001-03|Somos Construções Ltda.
1077155|11031/2023|00.338.885/0001-33|NOVATEC CONSTRUCOES E EMPREENDIMENTOS LTDA
1078557|40801/23|26.420.889/0001-50|Gamarra Construtora e Locadora Ltda.
1067331|0306/2023|09.158.398/0001-63|SANTA CRUZ CONSTRUCOES LTDA
1082972|212/2023|07.367.680/0001-25|J ANDRADE LTDA
1086692|00013/2023|27.450.326/0001-77|CONSTRUTORA SALES LTDA
1084441|00020/2024|42.924.945/0001-40|JCB Neto Construções Ltda
1080964|131/2023|00.976.179/0001-17|LINK ENGENHARIA INDUSTRIA E COMERCIO LTDA
1086012|00004/2023|33.666.569/0001-40|PACTO CONSTRUCOES LTDA
1084311|003/2023|07.367.680/0001-25|J ANDRADE LTDA
1086277|00015/2023|40.141.083/0001-53|PONTES EMPREENDIMENTOS LTDA
1078002|0022023/2023|00.457.362/0001-06|TAPAJOS - TERRAPLENAGEM E PAVIMENTACAO LTDA.
1080274|057/2023|17.287.720/0001-82|SILVA E LEITE CONSTRUCOES E SERVICOS LTDA
1078122|156/2023|42.017.588/0001-36|Construções e Serviços Route Ltda.
1043998|100/2023|10.629.235/0001-09|PB Construções e Comércio Ltda
1081776|00108/2023|40.141.083/0001-53|PONTES EMPREENDIMENTOS LTDA
1085498|126/2023|37.927.953/0001-00|V N CONSTRUCOES LTDA
1084299|006/2023|27.450.326/0001-77|CONSTRUTORA SALES LTDA
1086248|127/2023|37.927.953/0001-00|V N CONSTRUCOES LTDA
1076449|00002/2023|29.878.872/0001-39|R F SERVICOS DE CONSTRUCAO CIVIL LTDA
1075527|108.0.01/23|11.724.567/0001-27|Humberto José Mendes da Silva ME
1080650|11045/2023|08.978.001/0001-17|A J P ENGENHARIA LTDA
1081957|082023/2023|19.910.105/0001-06|RENOVAR CONSTRUCOES E SERVICOS LTDA
1088699|00009/2023|14.313.179/0001-41|CLAUDINEIA LEITAO MARTINS SATIRO
0224979|0232/2023|09.267.923/0001-89|SANCCOL - Saneamento, Construção e Comércio Ltda - Em recuperação judicial
1077134|00005/2023|40.141.083/0001-53|PONTES EMPREENDIMENTOS LTDA
1085259|00006/2023|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1085018|00003/2023|48.959.354/0001-94|L F C CONSTRUCOES LTDA
1084998|072023|19.910.105/0001-06|RENOVAR CONSTRUCOES E SERVICOS LTDA
1077346|102023/2023|35.896.773/0001-82|MROG CONSTRUCOES E SERVICOS LTDA
1074592|00259/2023|15.091.778/0001-20|QUALIFICA Construções e Empreendimentos Ltda
1085400|00004/2023|34.884.695/0001-33|CONSTRUTORA ARANTES LTDA
1079462|008/24|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1085422|013/2024|49.550.987/0001-07|JDI Construção e Serviços Ltda.
1072387|08005/2023|30.251.160/0001-74|CONSTRUPAV EMPREENDIMENTOS LTDA
1080667|00005/2023|40.141.083/0001-53|Pontes Empreendimentos Ltda
1078487|000012023/2023|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1085261|00101/2023|38.374.079/0001-93|DEA CONSTRUCOES E LOCACOES LTDA
1076651|00008/2023|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1079075|082023/2023|35.896.773/0001-82|MROG CONSTRUCOES E SERVICOS LTDA
1080706|229/2024|09.323.098/0001-92|CONSTRUTORA ROCHA CAVALCANTE LTDA
1080753|005/2023|40.262.021/0001-08|N&G CONSTRUCOES E SERVICOS LTDA
1062160|021401/2022|10.291.098/0001-37|mimozza construcao ltda
1078670|001/2023|40.628.974/0001-39|HUMAITA CONSTRUCOES LTDA
1079504|001/2023|40.628.974/0001-39|HUMAITA CONSTRUCOES LTDA
1084308|07301/2023|51.578.554/0001-01|LCB CONSTRUCAO E INCORPORACAO LTDA
1078487|000012023/2023|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1084337|05/2023|07.367.680/0001-25|J ANDRADE LTDA
1089691|01/2024|30.513.093/0001-19|YELLOWSUN CONSTRUCOES LTDA
1086450|0133501/2024023|28.697.127/0001-20|JGM CONSTRUTORA LTDA
1075412|022023/2023|28.183.078/0001-08|NOBREGA CONSTRUCOES LTDA
1056401|01.044/2024|19.910.105/0001-06|RENOVAR CONSTRUÇÕES E SERVIÇOS LTDA
1082887|10126/2023|04.297.655/0001-24|VIRTUAL ENGENHARIA LTDA
1077395|00009/2023|47.674.423/0001-50|CONSTRUTORA E LIMPEZA URBANA DANTAS LTDA
1077296|00003/2023|36.121.012/0001-11|PR CONSTRUCOES LTDA
1055999|000014/2024|26.743.338/0001-27|copeva construtora pereira vieira ltda
1076164|0367/2023|00.338.885/0001-33|NOVATEC CONSTRUCOES E EMPREENDIMENTOS LTDA
1084437|005/2023|27.450.326/0001-77|CONSTRUTORA SALES LTDA
1082750|00006/2023|39.472.830/0001-57|VORI LOCACOES E SERVICOS LTDA
1061854|000014/2024|26.743.338/0001-27|copeva construtora pereira vieira ltda
1077058|0002/2023|00.338.885/0001-33|NOVATEC CONSTRUCOES E EMPREENDIMENTOS LTDA
1079462|000062023/2023|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1080608|00002/2023|19.493.224/0001-00|CONSORCIO SERTAO LTDA
1084313|004/2023|09.181.832/0001-26|NUNES CONSTRUCOES DE EDIFICIOS E OBRAS URBANISTICAS LTDA
1076651|00006/2023|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1056401|001044/2024|19.910.105/0001-06|renovar construcoes e servicos ltda
1080608|00002/2023|12.541.735/0001-01|MAURILIO FERREIRA DA SILVA LTDA
1078129|00001/2024|29.107.599/0001-49|E C A DE MELO CONSTRUCOES E SERVICOS LTDA
1076657|000023/2024|23.430.132/0001-59|R SENA LOCACAO E SERVICOS DE ENGENHARIA LTDA
1077295|102023/2023|13.408.085/0001-93|WJX CONSTRUCOES E SERVICOS DE ENGENHARIA LTDA
1079388|00003/2023|42.540.677/0001-62|LIMA CONSTRUCOES E SERVICOS LTDA
1079783|00021/2023|34.443.976/0001-50|CENTROSOL  PROJETOS E SOLUCOES LTDA
1034012|001043/2024|19.910.105/0001-06|renovar construcoes e servicos ltda
1076622|024/2023|25.165.699/0001-70|CLPT CONSTRUTORA LTDA
1072201|Convite nº 05/2023|37.205.757/0001-21|HUNE CONSTRUTORA LTDA
1080677|00005/2023|23.254.954/0001-26|I.A.S. CONSTRUCOES LTDA
1082952|03/2024|15.705.860/0001-06|COMPASSO EMPREENDIMENTOS LTDA
1085672|00001/2024|12.541.735/0001-01|MAURILIO FERREIRA DA SILVA LTDA
1082513|065/2024|03.117.952/0001-88|Construtora Cral Serviços Ltda.
1084300|00014/2023|11.170.603/0001-58|COVALE CONSTRUCOES E SERVICOS LTDA
1075482|00006/2023|44.459.047/0001-93|ANCORA CONSTRUTORA LTDA
1086273|073/2024|22.759.235/0001-02|Sena Construções Ltda.
1084160|000052023/2023|12.072.392/0001-83|AGRESTE CONSTRUTORA E COMERCIO LTDA
1077219|TP004/2023|20.256.412/0001-02|A CASA CONSTRUCOES E SERVICOS LTDA
1043974|011077/2023|05.052.764/0001-44|gs - construtora gurgel soares ltda.
1078001|00052023/2023|10.465.480/0001-10|EMPROTEC CONSTRUCOES E SERVICOS LTDA
1081464|00008/2023|41.284.989/0001-90|CONSTRUSOL EMPREENDIMENTOS E SERVICOS LTDA
1073355|052023/2023|37.883.801/0001-52|JQ CONSTRUCOES, SERVICOS E COMERCIO LTDA
1073951|01071/2024|27.944.573/0001-20|B2 Construções Eireli
1043974|011012/2022|05.052.764/0001-44|gs - construtora gurgel soares ltda.
1068076|00002/2024|17.480.342/0001-59|CONSTRUTORA MENEZES LTDA
1084185|007/2024|12.072.392/0001-83|Agreste Construtora e Comércio Ltda.
1069311|014/2024|13.408.085/0001-93|WJX Construções e Serviços de Engenharia Ltda
1078385|00002/2023|24.263.536/0001-68|B & N EMPREENDIMENTOS IMOBILIARIOS LTDA
1043974|011012/2022|05.052.764/0001-44|gs - construtora gurgel soares ltda.
1081843|016/2024|28.994.255/0001-36|Construtora Jew Ltda.
1043974|011077/2023|05.052.764/0001-44|gs - construtora gurgel soares ltda.
1077201|2.05.01/2023|26.836.842/0001-71|HARPIA EMPREENDIMENTOS LTDA
1087509|176/2024|25.165.699/0001-70|CLPT CONSTRUTORA LTDA
1077189|090/2024|13.408.085/0001-93|WJX Construções e Serviços de Engenharia Ltda.
1083068|14/2023|12.102.978/0001-43|M L S - CONSTRUCAO CIVIL LTDA
1077235|006/2023|23.429.439/0001-30|R M G CONSTRUCOES E SERVICOS LTDA
1082877|000042024/2024|41.970.209/0001-65|CONSTRUTORA WEBER E TOMAZ LTDA
1087508|0176/2024|25.165.699/0001-70|CLPT CONSTRUTORA LTDA
1080763|00002/2024|18.044.473/0001-56|CONSTRUTORA MENDONCA LTDA
1083020|0271/2023|12.096.959/0001-51|T4 Engenharia e Serviços Ltda
1078385|00002/2023|24.263.536/0001-68|B & N EMPREENDIMENTOS IMOBILIARIOS LTDA
1085256|00005/2023|33.506.391/0001-70|A S CONSTRUCOES LTDA
1085107|0023/2024|18.044.473/0001-56|CONSTRUTORA MENDONCA LTDA
1078252|00042022/2022|09.326.532/0001-98|LIVRAMENTO CONSTRUCOES, SERVICOS E PROJETOS LTDA
1003841|000067/2020|33.506.391/0001-70|a s construcoes ltda
1077822|00002/2024|32.203.652/0001-10|MJ SERVICOS E SOLUCOES LTDA
1081752|00001/2024|24.658.568/0001-62|FM SERVICOS LTDA
1077816|00005/2023|12.072.392/0001-83|AGRESTE CONSTRUTORA E COMERCIO LTDA
1056401|001044/2024|19.910.105/0001-06|renovar construcoes e servicos ltda
1079472|003/2023|18.127.470/0001-86|MOURA E ANDRADE CONSTRUTORA E INCORPORADORA LTDA
1084159|00114/2024|12.587.177/0001-15|P M Costa Neto Construções e Incorporadora Ltda
1087445|00002/2024|41.163.475/0001-86|COMAF - SERVICOS DE CONSTRUCOES CIVIS LTDA
1088699|17/2023|28.730.304/0001-23|MP ENGENHARIA & SST LTDA
1013042|000067/2020|33.506.391/0001-70|a s construcoes ltda
1078252|10029/2024|41.163.475/0001-86|COMAF - SERVICOS DE CONSTRUCOES CIVIS LTDA
1086238|00115/2024|12.587.177/0001-15|P M Costa Neto Construções e Incorporadora Ltda
1091593|00010/2024|48.689.684/0001-07|PORTO BRASIL INCORPORACOES LTDA
1090880|00011/2024|48.689.684/0001-07|PORTO BRASIL INCORPORACOES LTDA
1082996|00004/2023|45.338.312/0001-48|EMIR NUNES DA SILVA NETTO  LTDA
1084823|032024/2024|12.373.455/0001-31|A. A. LIMA LTDA
1085844|012024/2024|09.027.846/0001-90|TRUST CONSTRUTORA LTDA
1077250|0005/2024|44.534.366/0001-16|GS CONSTRUCOES E MEIO AMBIENTE LTDA
1084307|00001/2024|08.508.574/0001-87|ARRUDA PROJETOS LTDA
1086031|00013/2023|35.042.630/0001-03|SOMOS CONSTRUCOES LTDA
1086721|10101/2024|17.653.616/0001-64|J. C. M. Construção Ltda.
1078203|00002/2024|28.114.128/0001-03|OLIVEIRA LOCACAO, SERVICOS E CONSTRUCOES LTDA
1086456|0048/2024|52.166.419/0001-11|J DE M MOURA SERVICOS
1055291|000162/2024|08.438.654/0001-03|polyefe construcoes, limpeza e conservacao ltda
1084823|032024/2024|12.373.455/0001-31|A. A. LIMA LTDA
1080666|00007/2023|44.352.616/0001-05|PONTES CONSTRUTORA E SERVICOS LTDA
1084405|002/2024|27.776.149/0001-13|SUSSUARANA ENGENHARIA E ARQUITETURA LTDA
1080655|0001/2024|26.743.338/0001-27|COPEVA CONSTRUTORA PEREIRA VIEIRA LTDA
1080733|00006/2023|38.374.079/0001-93|DEA CONSTRUCOES E LOCACOES LTDA
1090058|00007/2024|26.836.842/0001-71|HARPIA EMPREENDIMENTOS LTDA
1086457|002/2024|27.776.149/0001-13|SUSSUARANA ENGENHARIA E ARQUITETURA LTDA
1081374|0001/2024|22.336.279/0001-11|IDEAL CONSTRUCOES E SERVICOS LTDA
1061854|000013/2024|26.743.338/0001-27|copeva construtora pereira vieira ltda
1087565|10201/2024|48.689.684/0001-07|Porto Brasil Incorporações Ltda.
1079312|00011/2023|34.955.075/0001-48|JHONATAN ANDRADE DA SILVA LTDA
1087874|0010/2024|51.065.689/0001-73|L5 Construções Ltda
1080557|00012/2023|13.408.085/0001-93|WJX CONSTRUCOES E SERVICOS DE ENGENHARIA LTDA
1044210|000180/2023|36.428.864/0001-56|construtora nacional locacoes e servicos ltda
1046920|001136/2024|17.560.794/0001-40|e l f teixeira construcoes e servicos ltda
1088824|00014/2024|52.678.292/0001-10|G E CONTRUCOES E SERVICOS LTDA
1085865|00001/2024|28.561.917/0001-84|SANTA FE CONSTRUCOES LTDA
1058030|001994/2023|29.203.027/0001-63|silvas construcoes ltda
1087992|00020/2024|05.820.995/0001-50|LUMAR ENGENHARIA LTDA
1086562|00049/2024|12.072.392/0001-83|AGRESTE CONSTRUTORA E COMERCIO LTDA
1084569|02/2024|10.791.675/0001-50|POTIGUAR CONSTRUTORA LTDA
1091161|04101/2024|01.088.740/0001-94|MOC SERVICOS DE CONSTRUCOES LTDA
1091155|03901/2024|01.088.740/0001-94|MOC SERVICOS DE CONSTRUCOES LTDA
1089572|00015/2024|42.705.884/0001-20|J R A CONSTRUTORA E SERVICOS LTDA
1077182|00012024/2024|28.820.393/0001-07|CONSTRUTORA SAILE LTDA
1072201|Convite nº 03/2023|05.141.222/0001-48|NOVO RUMO SERVICO DE CONSTRUCAO, CONSERVACAO E LIMPEZA LTDA
1088717|00017/2024|14.206.183/0001-00|MAC CONSTRUTORA LTDA
1082462|00041/2024|37.894.604/0001-39|TEMPLATE SERVICOS DE ENGENHARIA E CONSTRUCAO LTDA
1086255|66/2024|01.088.740/0001-94|MOC SERVICOS DE CONSTRUCOES LTDA
1092056|00019/2024|34.016.448/0001-15|PROJETCONS ENGENHARIA E ARQUITETURA LTDA
1088910|00018/2024|14.206.183/0001-00|MAC CONSTRUTORA LTDA
1072724|122023/2023|13.408.085/0001-93|WJX CONSTRUCOES E SERVICOS DE ENGENHARIA LTDA
1087104|000032024/2024|14.206.183/0001-00|MAC CONSTRUTORA LTDA
1086000|900022024/2024|07.353.156/0001-03|CONSTERRA CONSTRUCOES TERRAPLANAGEM E SERV LTDA
1083374|00003/2024|10.641.065/0001-70|NIEMAIA CONSTRUCOES LTDA
1076522|00005/2023|37.894.604/0001-39|TEMPLATE SERVICOS DE ENGENHARIA E CONSTRUCAO LTDA
1060211|000380/2024|12.541.735/0001-01|maurilio ferreira da silva ltda
1087448|10060/2024|08.369.786/0001-20|MPA CONSTRUCOES E PARTICIPACOES LTDA
1055291|000162/2024|08.438.654/0001-03|polyefe construcoes, limpeza e conservacao ltda
1091123|10069/2024|10.634.344/0001-06|PB PROJETOS E CONSULTORIA LTDA
1010373|037/2024|47.925.646/0001-43|Eficaz Empreendimentos Ltda.
1077200|0008/2023|21.933.413/0001-07|ISIDORO ENGENHARIA E CONSTRUCOES LTDA
1087501|00050/2024|37.883.801/0001-52|JQ CONSTRUCOES, SERVICOS E COMERCIO LTDA
1084438|11/2023|42.992.260/0001-30|RAFAELLA NOGUEIRA DA COSTA LTDA
1086000|900022024/2024|07.353.156/0001-03|CONSTERRA CONSTRUCOES TERRAPLANAGEM E SERV LTDA
1086181|000012024/2024|18.917.544/0001-88|M. A. EMPREENDIMENTOS E SERVICOS LTDA
1083043|00001/2024|07.367.680/0001-25|J ANDRADE LTDA
1086188|00012024/2024|18.917.544/0001-88|M. A. EMPREENDIMENTOS E SERVICOS LTDA
1086264|000012024/2024|12.373.455/0001-31|A. A. LIMA LTDA
1092310|000072024/2024|26.146.067/0001-22|PBFORT ENGENHARIA LTDA
1081225|0005/2024|36.121.012/0001-11|PR CONSTRUCOES LTDA
1076765|00006/2024|17.598.162/0001-76|MACARIO PRE MOLDADOS E METALURGICA LTDA.
1091876|06/2024|38.016.115/0001-47|CONSTRUTORA NOSSA SENHORA DA CONCEICAO LTDA
1091485|00002/2024|04.667.686/0001-20|CONSTRUTORA GONCALVES LTDA
